N‰ringsv‰rden per 100 gram livsmedel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Livsmedelsnamn;Livsmedelsnummer;Energi (kJ)(kJ);Energi (kJ)(kJ);Protein(g);Fett(g);Kolhydrater(g);Fibrer(g);Salt(g);Aska(g);Vatten(g);Alkohol(g);Monosackarider(g);Disackarider(g);Sackaros(g);Fullkorn totalt(g);Summa m‰ttade fettsyror(g);Fettsyra 4:0-10:0(g);Fettsyra 12:0(g);Fettsyra 14:0(g);Fettsyra 16:0(g);Fettsyra 18:0(g);Fettsyra 20:0(g);Summa enkelom‰ttade fettsyror(g);Fettsyra 16:1(g);Fettsyra 18:1(g);Summa flerom‰ttade fettsyror(g);Summa n-6 fettsyror(g);Fettsyra 18:2(g);Fettsyra 20:4(g);Summa n-3 fettsyror(g);Fettsyra 18:3(g);Summa lÂnga n-3 fettsyror(g);EPA (Fettsyra 20:5)(g);DPA (Fettsyra 22:5)(g);DHA (Fettsyra 22:6)(g);Summa transfettsyror(g);Kolesterol(mg);Vitamin A();Retinol(µg);beta-Karoten(µg);Vitamin D(µg);Vitamin E(mg);Vitamin K(µg);Tiamin(mg);Riboflavin(mg);Vitamin C(mg);Niacin(mg);Niacinekvivalenter();Vitamin B6(mg);Vitamin B12(µg);Fosfor(mg);Folat(µg);Jod(µg);Avfall (skal etc.)(%);J‰rn(mg);Kalcium(mg);Kalium(mg);Magnesium(mg);Natrium(mg);Selen(µg);Zink(mg)
Apelsinsoppa;1732;190;45;0,4;0,1;10,5;0,4;0;0,2;88,4;0;3,1;5,1;5,1;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;;0;0;0;0;0;1;0;9;0;0,1;;0,04;0,02;22;0,2;0,2;0,04;0;9;11;0;6;0,17;13;91;6;2;0,1;0,03
Aprikos;552;214;51;1,4;0,4;9,3;2,1;0;0,8;86;0;2,5;5,8;5,8;0;0;0;0;0;0;0;0;0,2;0;0,2;0,1;;0,1;0;;0;;0;0;0;0;0;131;0;1570;0;4;;0,03;0,04;10;0,6;0,8;0,05;0;19;9;1;7;0,5;14;295;8;1;0,2;0,3
Aprikoser konserv m juice;618;217;52;0,6;0;11,4;1,6;0;0,4;86;0;2,5;5,8;5,8;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;;0;0;0;0;0;47;0;560;0;2;;0,02;0,02;5;0,3;0,4;0,05;0;20;2;;0;0,3;12;165;10;4;0,2;0,1
Aprikoser konserv m medelsˆt lag;619;494;118;0,5;0,1;27,7;1,3;0;0,4;70;0;2,5;16;16;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;;0;0;0;0;0;62;0;740;0;0,9;;0,02;0,02;3;0,4;0,5;0,05;0;12;2;0;0;0,4;9;140;9;4;0,2;0,3
Aprikoser torkade;599;1024;245;3,6;0,5;49,9;12;0;3;31;0;12,6;29,5;29,5;0;0;0;0;0;0;0;0;0,2;0;0,2;0,1;;0,1;0;;0;;0;0;0;0;0;363;0;4350;0;6,2;;0,01;0,15;2;3;3,6;0,16;0;117;10;3;0;6;45;1380;41;10;0,5;0,7
Aprikosnektar drickf pastˆriserad ;664;242;58;0,3;0,1;13,1;1,3;0;0,2;85;0;2,1;5;5;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;;0;0;0;0;0;66;0;790;0;0,5;;0,01;0,01;0;0,3;0,4;0,02;0;9;1;;0;0,4;7;82;5;1;0,1;0,1
Aronia;4588;203;49;0,7;0,1;8,3;5,6;0;0,4;84,4;0;8,3;0,5;0,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;145;0;1130;0;1,5;22;0,02;0,02;28;0,3;0,4;0,03;0;72;7;2;;0,93;32;218;16;3;0;0,3
Arraksboll;1666;1861;445;3,4;21,8;58;1,5;0,5;0,8;14,5;0;0,1;40,2;40;0;10,4;0,7;0,7;0,9;6,2;1,4;0,1;7,7;0,1;7,7;2,7;0,6;1,9;0;0,1;0,5;0;0;0;0;0,7;37,7;213;127;50;1,2;2,9;11;0,06;0,04;0;0,7;1,3;0,06;0,08;87;10;2;1;0,62;28;119;18;197;1,9;0,4
Asterix kokt m salt;4518;340;81;1,9;0,1;16,8;2,3;0,2;0,9;78,1;0;0,5;0,2;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0,1;1;0,07;0,03;13;1,4;1,7;0,19;0;42;23;8;;0,34;4;313;22;85;0;0,22
Asterix rÂ;4445;311;74;1,8;0,1;14,8;3,1;0;0,8;79,5;0;0,6;0,2;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0,1;1;0,08;0,03;18;1,7;2;0,22;0;41;23;0;;0,38;5;370;25;3;0;0,27
Aubergine;372;79;19;1,1;0,1;2,2;2,4;0;0,5;93,7;0;2,4;0,2;0,2;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;;0;0;0;0;0;3;0;31;0;0,1;6;0,02;0;3;0,6;0,8;0,04;0;24;21;;19;0,21;10;210;14;2;0;0,16
Aubergine kokt;469;100;24;1,4;0,1;2,8;3;0,4;1;91,6;0;3;0,3;0,3;0;0;0;0;0;0;0;0;0;0;0;0,1;;0;0;;0;;0;0;0;0;0;3;0;39;0;0,1;7;0,02;0;2;0,7;1;0,03;0;31;19;18;24;0,26;13;224;18;143;0;0,21
Aubergine stekt;470;302;72;1,3;5,8;2,6;2,8;1,7;2,3;85,2;0;2,8;0,2;0,2;0;0,6;0;0;0;0,3;0,1;0;3,3;0;3,2;1,6;1;1,1;0;0,4;0,5;0;0;0;0;0;0;20;16;48;0,3;1,5;12;0,02;0;2;0,7;0,9;0,03;0;29;18;83;22;0,26;14;247;17;679;0;0,19
Avokado;320;825;197;1,9;19,6;1,7;4,8;0;2;70;0;0,2;0,3;0,2;0;3,4;0;0;0;3,3;0,1;0;12,7;1,5;11,2;2,6;2,4;2,4;0;0,2;0,2;0;0;0;0;0;0;6;0;48;0;3,4;19;0,07;0,1;3;1,8;2,1;0,37;0;67;116;;33;0,26;14;600;32;5;0;0,4
Avorio ris okokt;2057;1499;358;6,7;1,3;78,1;1,2;0;1;11,7;0;0,6;0,4;0,4;0;0,2;0;0;0;0,2;0;0;0,4;0;0,4;0,4;;0,4;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0,21;0,04;0;7,4;8,5;0,63;0;188;25;1;;0,3;5;192;50;1;2,7;1,14
Bacon gris rˆkt stekt;5062;1457;348;19;30,6;0;0;2,9;4,5;45,8;0;0;0;0;0;12,8;0;0;0,5;7,9;4,2;0,1;13,8;0,8;12,5;2,6;;2,2;0,1;;0,2;;0;0;0;;54,2;13;13;0;0,68;0,6;;0,36;0,12;0;3,9;7,4;0,16;1,05;201;2;1;0;0,85;10;269;21;1161;11,3;1,63
Bacon l‰ttbacon gris;1524;476;114;19,4;3,5;1;0;3,3;4,4;71,7;0;0,6;0,2;0,1;0;1,2;0;0;0;0,8;0,4;0;1,5;0,1;1,4;0,4;;0,3;0;;0;0;0;0;0;0;41,2;5;5;2;0,1;0,2;0;0,93;0,14;0;7,5;11,1;0,47;0,25;168;9;4;0;0,58;7;353;19;1327;12;1,38
Bacon magert gris rˆkt stekt;1523;592;141;26,6;3,1;1,4;0;4,5;6;62,9;0;0,8;0,3;0,2;0;1,1;0;0;0;0,7;0,4;0;1,3;0,1;1,2;0,4;;0,3;0;;0;0;0;0;0;0;37,2;7;7;3;0,14;0,2;1;0,89;0,15;0;10,3;15,2;0,52;0,28;230;10;5;0;0,79;10;484;26;1817;16,4;1,89
Bagel m rˆkt lax philadelphiaost sallad;745;886;212;9;7;26,8;2,5;1,4;1,9;52,9;0;1,2;1,8;0;0;3;0,2;0,1;0,5;1,6;0,4;0;2;0,2;1,4;1,2;;0,5;0,1;;0,1;0,6;0,2;0,1;0,3;;18,8;31;25;67;2,45;0,7;1;0,12;0,07;0;2,2;4,3;0,16;0,41;102;24;11;0;0,57;25;198;21;544;4,1;0,56
