N‰ringsv‰rden per 100 gram livsmedel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Livsmedelsnamn;Livsmedelsnummer;Energi (kJ)(kJ);Energi (kJ)(kJ);Protein(g);Fett(g);Kolhydrater(g);Fibrer(g);Salt(g);Aska(g);Vatten(g);Alkohol(g);Monosackarider(g);Disackarider(g);Sackaros(g);Fullkorn totalt(g);Summa m‰ttade fettsyror(g);Fettsyra 4:0-10:0(g);Fettsyra 12:0(g);Fettsyra 14:0(g);Fettsyra 16:0(g);Fettsyra 18:0(g);Fettsyra 20:0(g);Summa enkelom‰ttade fettsyror(g);Fettsyra 16:1(g);Fettsyra 18:1(g);Summa flerom‰ttade fettsyror(g);Summa n-6 fettsyror(g);Fettsyra 18:2(g);Fettsyra 20:4(g);Summa n-3 fettsyror(g);Fettsyra 18:3(g);Summa lÂnga n-3 fettsyror(g);EPA (Fettsyra 20:5)(g);DPA (Fettsyra 22:5)(g);DHA (Fettsyra 22:6)(g);Summa transfettsyror(g);Kolesterol(mg);Vitamin A();Retinol(µg);beta-Karoten(µg);Vitamin D(µg);Vitamin E(mg);Vitamin K(µg);Tiamin(mg);Riboflavin(mg);Vitamin C(mg);Niacin(mg);Niacinekvivalenter();Vitamin B6(mg);Vitamin B12(µg);Fosfor(mg);Folat(µg);Jod(µg);Avfall (skal etc.)(%);J‰rn(mg);Kalcium(mg);Kalium(mg);Magnesium(mg);Natrium(mg);Selen(µg);Zink(mg)
Mjukost sm‰ltost fett 8% ;83;612;146;18,1;8;0,5;0;2,2;4,4;69;0;0;0,2;0;0;5,2;0,7;0,3;0,8;2,3;0,9;0;2,1;0,1;1,8;0,2;;0,2;0;;0;;0;0;0;;30;53;51;24;0,05;0,2;;0,07;0,23;0;0,1;4,3;0,06;0,4;740;7;;0;0,3;510;96;26;860;1;2,6
Mjukost sm‰ltost fett ca 16% ;86;871;208;16;15,5;1,5;0;2,3;5;62;0;0;0,2;0;0;10,1;1,3;0,5;1,6;4,4;1,7;0;4;0,2;3,5;0,4;;0,3;0;;0,1;;0;0;0;;55;125;120;56;0,1;0,4;;0,08;0,33;0;0,1;3,8;0,16;0,2;770;7;24;0;0,2;570;98;26;930;1;2,6
Mjukost sm‰ltost fett ca 22% typ Den skrattande kon;106;1144;273;10,3;22,4;8,2;0;2,2;3,7;55,3;0;0;5,4;0;0;15,1;2,3;0,7;2,4;6,4;2,3;0;4,9;0,4;4,2;1;;0,5;0,1;;0,2;0,1;0;0;0;1,6;61,4;304;299;67;0,12;0,7;1;0,05;0,28;0;0,2;2,6;0,06;0,28;710;19;11;0;0,13;291;255;19;884;39;1,23
Mjˆlblandning grov vete rÂg vitberik;1942;1409;337;10;2,5;63,2;9;0;1,3;14;0;0,2;0,3;0,3;0;0,3;0;0;0;0,3;0;0;0,3;0;0,3;1,2;;1,1;0;;0,1;;0;0;0;0;0;0;0;0;0;1;;0,4;0,15;0;4;5,7;0,35;0;300;50;;0;3;34;380;90;3;1,6;2,8
Mjˆlblandning rÂgsikt m vetemjˆl vitberik;1943;1453;347;9,2;2,5;68,4;5,1;0;0,8;14;0;0,8;2,4;0,5;0;0,3;0;0;0;0,3;0;0;0,3;0;0,3;1,1;;1;0;;0,1;;0;0;0;0;0;0;0;0;0;0,6;;0,68;0,19;0;5,1;6,6;0,6;0;210;50;;0;1;29;260;50;3;1;1,8
Mjˆlblandning vete rÂg korn havre vitberik;1944;1433;342;10;2,5;66;6;0;1;14,5;0;0,2;0,9;0,3;0;0,3;0;0;0;0,3;0;0;0,3;0;0,3;1,2;;1,1;0;;0,1;;0;0;0;0;0;0;0;0;0;1,6;;0,5;0,18;0;4,9;6,6;0,56;0;220;50;;0;3;30;270;50;5;1,5;1,6
Mjˆlk fett 3%;123;251;60;3,5;3;4,7;0;0,1;0,8;88;0;0;4,8;0;0;1,9;0,2;0,1;0,3;0,9;0,3;0;0,8;0,1;0,7;0,1;0;0,1;0;0;0;0;0;0;0;0,1;10,3;28;26;22;0,01;0,1;1;0,05;0,15;1;0,1;0,9;0,04;0,58;102;14;12;;0,02;120;161;11;39;1,6;0,43
Mjˆlkchoklad fylld m mandelkrokant Daim;1849;2257;539;4,1;31,1;60,1;1,8;0,8;1,5;1,4;0;6,2;45,3;40,7;0;15,9;0,7;0,8;0,9;7,5;5,5;0,2;11,6;0,2;11,2;2,3;;1,9;0;;0,3;0;0;0;0;1,4;22,3;60;60;5;0,1;3,1;21;0,03;0,21;0;0,3;0,9;0,03;0,16;110;15;19;0;1,01;57;174;27;321;1,4;0,57
Mjˆlkchoklad m hackade hasselnˆtter Schweizernˆt;1848;2282;545;8,7;31,8;55,6;1,7;0,1;1,7;0,5;0;0;47,3;38;0;15;0,2;0,1;0,3;6,3;7,7;0,2;13,8;0,1;13,6;1,5;;1,4;0;;0,1;0;0;0;0;0,1;14,4;42;41;16;0,1;4,5;10;0,07;0,31;0;0,4;1,9;0,15;0,22;231;31;30;0;2,14;194;387;63;56;2,3;1,32
Mjˆlkchoklad m mjuk kolafyllning Plopp Center;1850;2077;497;6,5;24,3;62,9;0;0,5;1,8;4,6;0;2,9;41,9;32,2;0;13,4;0,2;0,1;0,3;5,9;6,5;0,2;8,9;0,1;8,8;0,9;;0,8;0;;0,1;0;0;0;0;1,3;12,6;28;27;11;0,1;1,4;15;0,05;0,3;0;0,3;1,3;0,06;0,43;190;16;32;0;1,4;184;319;32;211;2,9;0,93
Mjˆlkchoklad ospec.;2055;2358;564;9,2;35,2;52,9;0;0,2;1,9;0,8;0;0;48,5;37,6;0;21,3;0,5;0,2;0,7;8,8;10,4;0,3;11,1;0,2;10,8;1,3;;1,1;0;;0,1;0;0;0;0;0,2;28,6;60;58;32;0,29;0,7;6;0,03;0,47;0;0,4;1,9;0,11;0,48;264;16;24;;2,33;267;509;63;93;3,6;1,37
Mjˆlkdryck jordgubb fett 1,5% berik ;133;209;50;3,3;1,7;5,2;0;0,1;0,5;89,3;0;0;7,3;2,8;0;1,1;0,1;0,1;0,2;0,5;0,2;0;0,4;0;0,4;0,1;;0;0;;0;0;0;0;0;0,1;6,5;68;58;114;0,43;0;0;0,05;0,16;1;0,1;0,9;0,06;0,39;75;14;6;0;0,15;74;118;8;29;2,5;0,4
Mjˆlkpulver fett 1% ;118;1527;365;36,2;0,8;52;0;1,3;7,9;3,2;0;0;51;0;0;0,5;0,1;0;0,1;0,2;0,1;0;0,2;0;0,2;0;0;0;0;0;0;;0;0;0;0;20;7;6;1;0,01;0;;0,42;1,55;0;1;9,4;0,36;4,7;968;50;;0;0,32;1257;1794;110;535;10;4,08
MjˆlksÂs m ost till moussaka;2524;463;111;7,7;5,3;8;0,1;0,8;1,8;77;0;0,1;4,4;0;0;2,7;0,3;0,1;0,4;1,4;0,5;0;1,5;0,1;1,4;0,4;0,2;0,3;0;0;0;0;0;0;0;0,1;72,2;73;71;20;0,57;1,1;6;0,08;0,22;0;0,3;2,1;0,07;0,81;169;23;48;2;0,39;175;181;16;339;6,3;0,89
Molinogrˆt grahamsmjˆl torkad frukt linfrˆ;678;380;91;2,4;2,4;12,9;3,7;0,3;0,8;77,7;0;4,7;0,6;0,6;10;0,2;0;0;0;0,2;0,1;0;0,4;0;0,4;1,6;;0,4;0;;1,1;;0;0;0;0;0;0;0;6;0;0,3;0;0,13;0,03;0;0,9;1,3;0,07;0;88;9;13;0;1,13;22;143;41;101;0,6;0,56
Morot;289;152;36;0,7;0,2;6,6;2,4;0,1;0,6;89,5;0;3,2;3,1;3,1;0;0,1;0;0;0;0,1;0;0;0;0;0;0,1;;0,1;0;;0;;0;0;0;0;0;862;0;8695;0;0,6;8;0,04;0;5;0,8;0,9;0,14;0;23;22;3;16;0,19;26;210;8;31;0;0,16
Morots- o ‰rtsoppa;308;163;39;1,5;1,2;4,8;1,6;0,6;1,1;89,9;0;0,8;1,5;1,2;0;0,3;0;0;0;0,1;0,1;0;0,5;0;0,5;0,3;0,2;0,3;0;0,1;0,1;0;0;0;0;0;0,6;164;8;1592;0,1;0,4;2;0,06;0,04;7;0,8;1,1;0,05;0,03;29;13;10;5;0,27;19;93;9;238;0,1;0,2
Morotsjuice;301;142;34;0,7;0,4;6,3;1;0,1;0,6;91;0;2,3;2,4;2,4;0;0,1;0;0;0;0,1;0;0;0;0;0;0,2;;0,2;0;;0;;0;0;0;0;0;218;0;2620;0;1,4;;0,09;0,06;4;0,4;0,5;0,22;0;31;14;;0;0,6;19;300;23;39;0,1;0,2
Morotssoppa;307;157;38;0,9;2,2;3,3;0,8;1;1,4;91,4;0;1;1,3;1;0;0,8;0,1;0;0,1;0,4;0,2;0;0,8;0;0,7;0,4;0,2;0,3;0;0,1;0,1;0;0;0;0;0;11,7;300;20;2834;0,13;0,6;4;0,04;0,03;3;0,7;0,9;0,03;0,06;22;7;29;5;0,17;20;63;5;386;0,7;0,11
Morotssoppa snabb;309;195;47;1,7;1,2;6,3;1,7;0,9;1,5;87,5;0;2,3;3,8;2,2;0;0,7;0,1;0;0,1;0,4;0,1;0;0,3;0;0,2;0,1;0;0,1;0;0;0;0;0;0;0;0;3,6;622;9;6187;0;0,4;6;0,03;0,05;1;0,6;1;0,05;0,18;52;11;48;11;0,16;62;162;10;366;0,6;0,26
Morˆtter kokta;305;152;36;0,7;0,2;6,6;2,4;0,4;0,9;89,2;0;3,2;3;3;0;0;0;0;0;0;0;0;0;0;0;0,1;;0,1;0;;0;;0;0;0;0;0;859;0;8671;0;0,6;8;0,03;0;2;0,8;0,9;0,08;0;23;15;17;16;0,19;26;176;8;141;0;0,16
Morˆtter konserv m lag;299;95;23;0,6;0,2;3,9;1,4;0,6;0,9;93;0;1,9;1,5;1,5;0;0;0;0;0;0;0;0;0;0;0;0,1;;0,1;0;;0;;0;0;0;0;0;413;0;4950;0;0,3;;0,02;0,03;3;0,4;0,5;0,11;0;20;8;;0;0,6;25;173;9;240;0,4;0,3
Morˆtter konserv u lag;300;98;23;0,6;0,2;4;1,5;0,6;0,7;93;0;2,1;1,7;1,7;0;0;0;0;0;0;0;0;0;0;0;0,1;;0,1;0;;0;;0;0;0;0;0;667;0;6350;0;0,3;;0,02;0,03;3;0,5;0,6;0,11;0;24;9;;0;0,6;25;179;8;240;0,6;0,3
Morˆtter stuvade;306;342;82;1,9;4,7;7,1;1,6;0,7;1,3;83,3;0;2;3,7;1,9;0;1,1;0,1;0;0,1;0,6;0,2;0;2,3;0;2,2;1,1;0,6;0,8;0;0,2;0,3;0;0;0;0;0,1;3,7;573;19;5592;0,18;1,3;9;0,05;0,05;2;0,6;1;0,07;0,19;55;15;38;10;0,18;64;177;10;296;0,6;0,28
Moussaka;515;488;117;6,8;7,6;4,6;1,3;0,8;1,6;77,9;0;2,1;1,4;0,2;0;2,8;0,2;0,1;0,3;1,4;0,7;0;3,4;0,1;3,2;0,8;0,5;0,6;0;0,2;0,2;0;0;0;0;0,2;32,9;43;33;115;0,25;1,5;10;0,05;0,09;3;1,3;2,7;0,07;0,4;106;17;37;8;0,69;81;250;18;309;3,3;1,2
Mozzarella ost fett 20 % ;2255;1067;255;18,6;20,3;0;0;1;3,3;57,4;0;0;0;0;0;13,8;2,1;0,7;2,2;5,8;2;0;5;0,3;4,2;0,8;;0,6;0;;0,1;;0;0;0;0,8;58;283;258;152;0,2;0,3;;0,03;0,4;0;0,1;4,4;0,1;1,7;267;20;;;0;362;51;15;395;6;2,7
Mums-mums;1880;1656;396;5;15;59,6;0,4;0,4;1;19;0;4,6;30,3;26,1;0;8,6;0,4;1,1;0,7;3,3;3;0,1;4,1;0,1;4;1,4;;1,2;0;;0,2;;0;0;0;;2;337;321;193;0;0,2;;0,03;0,08;0;0,8;1,6;0,02;0;97;3;;0;1,4;81;133;22;146;0,5;0,5
Mungbˆnor torkade;886;1341;320;24;1,3;44,5;16;0;3,5;10,7;0;0,4;0,8;0,8;0;0,4;0;0;0;0,3;0,1;0;0,2;0;0,2;0,4;;0,4;0;;0;;0;0;0;0;0;4;0;48;0;0,3;;0,38;0,2;0;2,6;6,6;0,5;0;340;625;;0;7,7;118;1050;170;6;2;2,8
Mungbˆnor torkade kokta u salt;883;408;97;7;0,4;13,7;5,1;0;0,8;73;0;0,1;0,3;0,3;0;0,1;0;0;0;0,1;0;0;0,1;0;0,1;0,1;;0,1;0;;0;;0;0;0;0;0;1;0;12;0;0,1;;0,16;0,06;1;0,6;1,8;0,07;0;99;159;;0;1,4;27;266;48;2;0,7;0,8
Mungbˆnsgroddar;329;144;35;3;0,4;3,2;3;0;0,4;90;0;0,4;0,4;0;0;0,1;0;0;0;0,1;0;0;0,1;0;0,1;0,1;;0,1;0;;0;;0;0;0;0;0;1;0;12;0;0,2;;0,08;0,12;13;0,7;1,2;0,09;0;54;61;;0;0,9;13;149;21;6;1;0,4
Mungbˆnsgroddar konserv u lag;414;65;16;1,4;0,1;0,8;3;0,6;0,3;94,4;0;0,4;0,4;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;;0;0;0;0;0;1;0;12;0;0,2;;0,03;0,07;0;0,2;0,4;0,04;0;32;10;;0;0,4;14;27;9;250;1;0,2
Munkar fyllda m ‰ppelmos vaniljkr‰m;1607;1309;313;5,9;13,2;41,4;1,8;0,7;1;36,6;0;4,1;10,3;7,5;0;5,6;0,1;0,5;0,3;3,8;0,9;0,1;5,5;0;5,3;1,5;;1,4;0;;0,1;0;0;0;0;0,7;33,9;11;8;40;0,09;1,3;3;0,1;0,24;2;1;2;0,07;0,15;157;37;5;0;0,8;22;129;14;278;5,1;0,66
Munkar u fyllning;1606;1778;425;5;25,9;42,7;1,3;1,3;1,9;23,2;0;0;18,8;17,3;0;9,3;0;0;0,2;7,5;1,4;0,1;12,3;0,1;12;3;;2,7;0;;0,3;0;0;0;0;1,8;31,8;9;9;5;0,09;2,2;23;0,12;0,07;0;0,8;1,6;0,06;0,12;274;16;7;0;1,01;76;118;12;510;3,9;0,44
Musslor konserv m lag;1389;213;51;7,9;0,7;3,1;0;1;2,3;86;0;0;0;0;0;0,1;0;0;0;0,1;0;0;0,1;0;0;0,2;;0;0;;0;;0,1;0;0;0;55;54;54;0;0;0,5;;0,01;0,11;0;1;2,5;0,08;5;137;20;;0;4,8;55;140;32;390;56;2,3
Musslor konserv u lag;1390;400;96;15,8;2,5;2,3;0;1;2,4;77;0;0;0;0;0;0,4;0;0;0;0,2;0,1;0;0,5;0,1;0,1;0,6;;0;0,1;;0;;0,2;0;0,1;0;78;84;84;0;0;1,2;;0,02;0,24;0;2,2;5,1;0,08;10;310;18;;0;7,4;71;140;50;390;60;3,6
M¸slibar berikad typ Special K Chocolate;2072;1668;399;8,1;6,5;73,2;5,8;1,1;1,7;4,8;0;16,3;18;15,1;9;3,6;0;0;0;1,5;2;0,1;2,3;0;2,3;0,3;;0,3;0;;0;0;0;0;0;0,3;2;0;10;2;0,33;0,5;1;1,49;2,13;48;21,6;23;2,06;0,78;107;292;9;;12,8;32;172;38;422;3,6;1,14
M¸slibar fullkorn berikad typ Special K Bar Red fruit;2071;1646;393;8,4;4,4;77,9;2,1;1,3;1,8;5,5;0;23,7;10,8;7,2;10;3,9;0,6;1,8;0,7;0,4;0,4;0;0,1;0;0,1;0,2;;0,2;0;;0;0;0;0;0;0;2;0;10;3;0,1;0,4;1;2,5;2,45;67;26,3;27,7;3,13;1,24;100;329;1;;12,9;34;125;23;507;4,2;0,94
MÂltidsdricka ‰pple lingon drickf berik ;1839;134;32;0;0;7,9;0;0;0,1;92;0;2,7;4,8;4,8;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;;0;0;0;0;0;0;0;3;0;0;;0;0;8;0;0;0;0;3;1;;0;0;3;48;2;4;0;0
MÂltidsers‰ttning chokladsmak pulver Nutrilett Intensiv;1891;1575;377;35;9;32,6;11,6;2,9;8,1;3,7;0;29,1;1,5;0,3;0;2,3;0;0,1;0;1,4;0,6;0;1,9;0;1,9;4,4;;4;0;;0,4;0;0;0;0;0,4;2;890;890;3;3,8;10,3;39;1,06;1,51;42;13;18,8;1,9;1,63;663;207;96;0;16,6;349;1504;294;1141;51,6;10,02
Mˆrdeg gr‰ddad;1639;2115;506;5,5;34;44,4;1,3;0,5;0,7;13,9;0;0;9,9;9,1;0;17;1,5;0,9;1,8;9,8;2,1;0,1;11;0,3;10,9;4,5;1,3;3;0;0,3;0,9;0;0;0;0;0,6;72,1;312;121;66;2,26;3,6;4;0,23;0,07;1;1,9;2,8;0,16;0,09;71;16;4;0;0,66;13;63;13;219;2,9;0,48
Mˆrk blockchoklad;2054;2327;556;5,6;32,8;59,8;0;0;1,4;0,4;0;0,1;47,6;45,2;0;30,1;1,8;14,8;5,4;3,3;4,7;0,1;1;0;1;0,3;;0,3;0;;0;0;0;0;0;0,3;2;20;20;2;0;0,3;1;0,02;0,11;0;0,6;1,5;0,07;0;152;14;2;;13,3;39;408;114;3;1,7;1,7
Mˆrk choklad kakao <70% ;2053;2245;537;6,3;28,8;63,1;0;0;1,5;0,4;0;0;45,5;45,5;0;16,5;0;0;0,1;6,8;9,1;0,3;9,2;0,1;9,1;1,7;;1,5;0;;0,1;0;0;0;0;0,3;3,8;22;20;14;0;0,6;5;0,02;0,07;0;0,6;1,6;0,08;0;173;16;2;;7,9;44;433;121;4;3,4;1,99
Mˆrk choklad kakao >70 % ;2052;2395;572;9,7;37;50,7;0;0;2,3;0,4;0;0;22,1;22,1;0;22,5;0;0;0,1;9,1;12,7;0,4;11,8;0,1;11,7;1,1;;1,1;0;;0,1;0;0;0;0;0,2;3,1;22;20;16;0;0,7;8;0,02;0,08;0;0,9;2,5;0,09;0;230;22;2;;15,2;55;654;174;12;4,6;2,89
Napoleonbakelse gr‰dde vaniljkr‰m hallonsylt glasyr;1650;1459;349;3,2;20,6;37,2;1,2;0,4;0,8;37,1;0;2,5;12,7;10,5;0;11,1;1;0,8;1,3;6,1;1,5;0,1;6,7;0,2;6,3;1,6;;1,2;0;;0,3;0;0;0;0;1;33,2;258;248;123;0,1;2;18;0,03;0,3;0;0,3;1,1;0,03;0,13;57;12;6;0;0,27;42;101;8;159;1;0,25
Nasi Goreng griskˆtt restaurang;1091;734;176;7,9;7,2;18,8;1,6;1,2;1;63,5;0;0,5;0,6;0,6;0;1,4;0;0;0;0,9;0,4;0;3;0,1;2,9;2,5;;2,3;0;;0,2;0;0;0;0;0,1;54,8;18;15;33;0,1;1,9;2;0,1;0,07;6;1,3;2,7;0,1;0,21;60;26;4;0;0,44;13;143;10;488;4,4;0,9
Nektarin;576;236;56;0,9;0,5;11,7;0,4;0;0,5;86;0;3,7;7,7;7,7;0;0;0;0;0;0;0;0;0,2;0;0,2;0,2;;0,2;0;;0;;0;0;0;0;0;4;0;49;0;1,8;;0,02;0,04;5;1,1;1,3;0,02;0;16;4;;9;0,2;5;210;8;0;0,2;0,1
Njurpalt;1472;641;153;8,3;1,7;24,6;2,3;1;1,1;62;0;0;0;0;0;0,4;0;0;0;0,3;0,1;0;0,2;0;0,2;0,6;;0,5;0;;0,1;;0;0;0;;48;116;115;10;0,3;0,3;;0,2;0,38;0;2,7;4,2;0,16;18,9;84;10;;0;3,3;10;245;20;390;18;3,3
NjursautÈ;1466;547;131;9,1;8,8;3,4;0,5;1,5;2,3;75,8;0,2;0,4;0,5;0,2;0;3,3;0,2;0,1;0,4;1,6;0,8;0;3,2;0,1;3;1,2;0,6;0,8;0,1;0,2;0,3;0;0;0;0;0,1;194,4;84;80;52;0,52;1,1;4;0,22;1,07;7;4;5,6;0,15;13,82;164;27;22;5;2,8;22;218;16;585;46,2;1,29
Nudelsoppa olika smaker kryddad;873;340;81;1,9;3,5;9,4;2,5;0,9;1,1;81,6;0;0;0,5;0,2;0;1,1;0;0;0;1;0,1;0;1;0;0,9;0,2;;0,2;0;;0;0;0;0;0;;0;0;0;0;0;0,4;;0,24;0,01;0;0,2;0,6;0,02;0;22;10;;0;0,26;80;34;7;369;0,6;0,22
Nudelsoppa risnudlar curry sesamolja;844;216;52;0,7;0,7;10,3;0,5;0,7;0,7;87,2;0;0;0,2;0,2;0;0,3;0;0;0;0,2;0,1;0;0,3;0;0,2;0,1;;0,1;0;;0;0;0;0;0;0;0;0;0;0;0;0,1;;0;0;0;0;0,2;0,01;0;37;10;;0;0,4;19;5;5;262;0,2;0,32
Nudlar kokta m kryddor;4117;427;102;2,4;4,3;11,8;3,1;1,2;1,4;76,9;0;0;0,6;0,3;0;1,4;0;0;0;1,2;0,2;0;1,2;0;1,2;0,3;;0,3;0;;0;0;0;0;0;;0;0;0;0;0;0,5;;0,3;0,01;0;0,3;0,8;0,03;0;28;13;;0;0,32;101;43;8;464;0,7;0,27
Nypon u frˆn torkade;606;1374;328;3,7;1,4;68,4;12;0;5,4;9,1;0;55;6;6;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;;0;0;0;0;0;583;0;7000;0;0;;0,05;0,3;270;1,5;2,1;0;0;123;2;1;0;4,2;310;1600;240;8;0,5;0,6
Nypondryck berik;671;171;41;0,1;0,1;9,7;0,1;0;0;90;0;0,5;8,1;8,1;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;;0;0;0;0;0;10;0;120;0;0;;0,01;0,02;18;0,1;0,1;0;0;6;1;;0;0,1;12;26;2;7;0,1;0
Nyponsoppa pulver berik;607;1608;384;0,7;0,2;91,1;5;0,1;1,2;1,8;0;3;68;68;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;;0;0;0;0;0;48;0;580;0;0;;0,01;0,24;190;0,3;0,4;0;0;35;0;;0;1,3;155;469;39;32;0,4;0,1
Nyponsoppa ‰tf pastˆriserad el pÂ pulver berik ;1751;217;52;0,2;0,1;12,1;0,5;0;0,1;87;0;0,4;9,1;9,1;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;;0;0;0;0;0;11;0;128;0;0,1;;0,01;0,02;28;0,1;0,1;0,01;0;7;1;;0;0,1;15;28;6;9;0,1;0
Nyponsoppa ‰tf pulver osˆtad berik ;1752;83;20;0,2;0,1;4,3;0,3;0;0,1;95;0;0,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;;0;0;0;0;0;10;0;120;0;0,1;;0,01;0,02;24;0,1;0,1;0,01;0;7;0;;0;0,1;13;28;4;9;0;0
Nyponte m svarta vinb‰r drickf;1964;12;3;0;0;0,7;0;0;0,1;99,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;0;16;0;0;0;0
N‰sselsoppa;450;156;37;1,3;2,7;1,7;0,6;1,3;1,6;92;0;0;0;0;0;0,3;0;0;0;0,2;0,1;0;1,4;0;1,4;0,8;0,4;0,5;0;0,2;0,3;0;0;0;0;0;0;61;7;647;0,12;1,4;100;0,01;0,03;1;0,2;0,4;0,02;0,04;24;16;24;2;0,66;66;46;9;537;0;0,09
N‰sselstuvning;2080;280;67;4,1;4,1;2,3;2,2;0,1;1,2;86;0;0;0,9;0,1;0;2,3;0,3;0,1;0,4;1,2;0,4;0;0,9;0,1;0,8;0,4;0;0,1;0;0;0,3;0;0;0;0;0,1;10,4;217;31;2242;0,04;3;369;0,02;0,09;3;0,4;1,1;0,04;0,09;89;49;7;8;2,29;249;132;27;50;0,3;0,35
N‰sslor fˆrv‰llda;349;128;31;4,1;0,7;0,6;2,7;0;1,2;90,7;0;0;0,1;0,1;0;0,1;0;0;0;0,1;0;0;0;0;0;0,4;;0,1;0;;0,3;;0;0;0;0;0;228;0;2730;0;3,6;453;0,01;0,12;7;0,4;1,1;0,06;0;85;83;0;10;2,8;280;150;30;3;0;0,32
N‰tmelon;547;155;37;0,9;0,3;7,1;1;0;0,7;90;0;2;3;3;0;0,1;0;0;0;0,1;0;0;0;0;0;0,1;;0;0;;0,1;;0;0;0;0;0;92;0;1100;0;0,1;;0,04;0,02;42;0,6;0,8;0,12;0;17;17;;49;0,2;11;310;11;9;0;0,2
Nˆt biff m ben clubstek rÂ;945;679;162;19,7;9,3;0;0;0,1;1;70;0;0;0;0;0;4,4;0;0;0,2;2,2;1,8;0;3,8;0,3;3,4;0,4;;0,2;0;;0;;0;0;0;;54;7;6;10;0,5;0,1;;0,03;0,19;0;5,9;9,5;0,48;1,4;162;12;;25;2,3;7;303;21;54;9;5,4
Nˆt biff ryggbiff rÂ;946;513;123;21,8;3,9;0;0;0,2;1,1;73,3;0;0;0;0;0;1,6;0;0;0,1;0,9;0,6;0;1,7;0,1;1,5;0,2;;0,1;0;;0;;0;0;0;;52;6;5;8;0,5;0,1;;0,08;0,26;0;5,7;9,7;0,48;1,4;189;12;;0;2,2;6;333;22;58;9;3,8
Nˆt biff ryggbiff stekt;1014;599;143;25,5;4,5;0;0;0,5;1,6;68,4;0;0;0;0;0;1,8;0;0;0,1;1;0,7;0;2;0,2;1,7;0,2;;0,1;0;;0;;0;0;0;0;60,7;7;6;9;0,58;0,1;;0,07;0,24;0;6,7;11,3;0,45;1,31;221;11;16;0;2,57;7;389;26;191;10,5;4,44
Nˆt blod rÂ;1424;294;70;16,4;0,4;0;0;0,8;1,4;81,8;0;0,1;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0,2;;0,1;0;;0;;0;0;0;;190;28;28;0;0,1;0,4;;0,09;0,03;0;0,8;3,8;0,01;0,6;23;12;;0;35,5;7;43;2;330;9;0,4
Nˆt bog m‰rgpipa rÂ;956;494;118;21;3,7;0;0;0,2;1;74,3;0;0;0;0;0;1,5;0;0;0,1;0,8;0,6;0;1,5;0,1;1,4;0,2;;0,1;0;;0;;0;0;0;;53;5;4;8;0,6;0,1;;0,08;0,31;0;4,2;8,1;0,58;1,2;182;12;1;25;2,3;6;329;23;69;8;4,9
Nˆt entrecÙte rÂ;960;591;141;21,7;6,1;0;0;0,2;1;71,5;0;0;0;0;0;3;0;0;0,2;1,5;1,1;0;2,4;0,2;2,2;0,3;0,2;0,2;0;0,1;0,1;0;0;0;0;0,2;52,4;8;6;26;0,07;0,5;3;0,06;0,16;0;6;10;0,37;0,69;185;6;3;10;2,13;5;320;22;67;5,9;4,14
Nˆt entrecÙte stekt;1017;687;164;25,2;7,1;0;0;0,5;1,4;66,5;0;0;0;0;0;3,5;0;0;0,2;1,7;1,2;0;2,8;0,2;2,5;0,3;0,2;0,2;0;0,1;0,1;0;0;0;0;0,2;60,9;10;7;30;0,08;0,6;4;0,04;0,15;0;7;11,6;0,35;0,64;215;5;18;12;2,48;7;372;25;200;6,9;4,82
Nˆt flankstek rÂ;1013;563;135;22;5,1;0;0;0,2;1;71,9;0;0;0;0;0;2,4;0;0;0,1;1,2;1;0;2,1;0,1;1,9;0,2;;0,1;0;;0;0;0;0;0;;52;6;5;8;0,5;0,1;;0,08;0,26;0;5,7;9,7;0,5;1,4;189;12;;0;2,2;6;333;22;58;9;3,8
Nˆt fl‰sk kˆtt stekt ospec.;2103;730;175;23,5;8,9;0;0;0,5;1,5;66;0;0;0;0;0;3,8;0;0;0,2;2,2;1,3;0;3,6;0,3;3,2;0,9;0;0,7;0;0;0;0;0;0;0;0;67,6;10;9;9;0,5;0,5;1;0,5;0,24;0;7,6;11,9;0,43;0,76;214;3;15;15;1,89;9;395;28;182;11;3,5
Nˆt fransyska rÂ;950;483;116;20,8;3,5;0;0;0,2;1,1;74,6;0;0;0;0;0;1,5;0;0;0,1;0,8;0,5;0;1,4;0,1;1,3;0,2;;0,1;0;;0;;0;0;0;;53;5;4;8;0,5;0,1;;0,08;0,27;0;3,5;7,3;0,44;1,2;185;13;;14;2,4;6;333;21;64;8;4,8
